// 각 줄에서 겹슬래시 "//" 및 별슬래시 "/*"에 이어지는 텍스트는 모두 주석으로 취급됩니다.
// 번역 파일에 별슬래시를 사용하여 주석을 작성하면 추출 파일에도 가능한 보존됩니다.
// "//*"와 같이 사용하면 겹슬래시로 취급됩니다.
// 
// 이름 추출시 아래와 같은 형태로 기록됩니다.
// 
// 키(원본 이름)->활성 이름
// 
// 키: 각 이름을 참조하는 고유값입니다. 다르거나 잘못 기입하면 번역이 적용되지 않습니다.
// 원본 이름: 키가 가리키는 원래 이름입니다.
// 활성 이름: 추출 시점에서 해당하는 키에 적용된 이름입니다. 이 부분을 수정한 파일을 정해진 경로에 위치시키면 림월드 실행 시 해당 이름으로 번역됩니다.
// 
// 이름은 "이름 [별명] 성" 세트로 구성되거나 단일 낱말입니다.
// 이름의 각 구성 요소 내부의 공백은 반영되나, 양 끝의 공백은 제거됩니다.
// 예를 들어, 별명 부분이 "  슝 좍  " 인 경우 "슝 좍"으로 적용됩니다.
// 
// 추출된 이름은 번역 파일 내에서 활성 이름을 기준으로
// 1. 각 요소가 모두 원본과 다른 이름 (완전히 번역된 이름)
// 2. 이름과 성은 원본과 다르지만 별명만 같은 이름
// 3. 이름이나 성 중 하나라도 원본과 같은 이름
// 순서로 정렬됩니다.
// 
// 번역 파일의 위치는 '모드 폴더/Languages/사용 언어 폴더/Strings/Names' 이며, 파일 이름은 변경되어선 안됩니다.

// 1. [Fully Translated]
60dc9de6(Kyphis [Bard] Talrathian)->카이피스 [바드] 탈라시안
c24a56b0(Yongxiang [Yoshiro] Poh)->융샹 [요시로] 포
8186e4f0(Zaery [Zaery] Zenn)->자에리 [자에리] 젠
d90f9ee9(Kai [Djint] Raschel)->카이 [진트] 라셸
1c21a127(Marcel [Makali] Kalinowski)->마르셀 [마칼리] 칼리노프스키
6088de55(Eicon [Eicon] Alonador)->에이콘 [에이콘] 알로나도르
a60455c9(Edwin [Thunder] Shi)->에드윈 [썬더] 시
aee1ee66(Martin [Vossen] Vossen)->마르틴 [포선] 포선
ed00ae08(Colton [Yankee] Parks)->콜튼 [양키] 팍스
2d7f3d4e(Jeremy [Jay] De Sousa)->제레미 [제이] 데 소우자
e143da9d(Alexandre [Saitaky] Castan)->알렉산드르 [사이타키] 카스탄
9de913a5(Mike [Mike] Laidlaw)->마이크 [마이크] 레이드로
202a5774(Aron [Simpson] Simpson)->아론 [심슨] 심슨
85f8eaf5(Marco [Max] Blendow)->마르코 [막스] 블렌다우
946a9de9(Jonas [Jonny] Becker)->조나스 [조니] 베커
572e006e(Thorsten [Thorsten] Graw)->토르스텐 [토르스텐] 그라브
cab3c75f(Craig [Gus] Allen)->크레이그 [거스] 앨런
93311289(Ty [Boshedo] Shortie)->타이 [보셰도] 쇼티
0ba9dcda(Fabian [Fab] Frickenstein)->파비안 [파브] 프리켄슈타인
c5b9ae67(WillIam [Bozz] De Sota)->윌리엄 [보즈] 데 소타
6953e9ac(Cletus [Guignol] Romansky)->클레투스 [기뇰] 로만스키
9b06a655(Mathieu [Monk] Rebeaud)->마티외 [몽크] 르보
6c702bd0(Tyrone [Ty] Mathieson)->타이론 [타이] 매티슨
9a31728c(Lars [Elvering] Elvering)->라스 [엘베링] 엘베링
199e0518(Curtis [Curt] Maddix)->커티스 [커트] 매딕스
5dfa44f7(Jerome [Schnell] Schnell)->제롬 [슈넬] 슈넬
32e77e57(Muhammad [Smey] Aiman)->무하마드 [스메이] 아이만
a2a1b0e2(Harry [Blakely] Blakely)->해리 [블레이클리] 블레이클리
6eaaac6e(Xavier [Jav] Maxikot)->하비에르 [하브] 막시코트
0d15963d(Mickael [Ness] Valette)->미카엘 [네스] 발레트
de56c297(Florent [Lexo] Debuchy)->플로랑 [렉소] 드뷔시
0b41397c(Dave [Bunny] Bunny)->데이브 [버니] 버니
489c03f1(Rodolphe [Rod] Gerber)->로돌프 [로드] 거버
a4caeb6e(Enrico [Eni] Frehner)->엔리코 [에니] 프레너
1cfe688a(Liyamu [Liya] Tian)->리야무 [리야] 톈
c7a294d8(Micah [Muki] Egesa)->미카 [무키] 에게사
5f5bf6e4(Boyd [Bo] McKenzie)->보이드 [보] 맥켄지
f8ea3176(Florian [Lambert] Haase)->플로리안 [람베르트] 하제
702892cf(Todd [Todman] Leidner)->토드 [토드맨] 라이드너
4e3ab58e(Derrick [Wall] Wall)->데릭 [월] 월
32c45bf5(Christopher [Chris] Louro)->크리스토퍼 [크리스] 로루
8665c7d3(Rémy [Rémy] Chene)->레미 [레미] 셴
ff4c1387(Mathieu [Mathlac] Lacoste)->마티외 [마틀락] 라코스테
9eebf37a(Sascha [Seis] Seis)->사샤 [세이스] 세이스
9828f57c(Malko [Akumu] Alex)->말코 [아쿠무] 알렉스
5bdf3577(Alexei [Kern] Kernikov)->알렉세이 [케른] 케르니코프
3c248334(Gerradine [Edge] Amontillado)->제라딘 [엣지] 아몬티야도
45b48370(Loyd [Loyd] Rafols)->로이드 [로이드] 라폴스
94fb91d9(Wesley [Wes] Oldenbeuving)->웨슬리 [웨스] 올덴뵈빙
568122fd(Axel [Axel] Feldmann)->악셀 [악셀] 펠트만
89ecc7f7(Xylar [Xylar] Kantetsu)->자일라 [자일라] 칸테츠
b1fc0213(Matthew [Matt] Cory)->매튜 [매트] 코리
cf970606(Harry [Blakey] Blake)->해리 [블레이키] 블레이크
7ac918ed(Russ [Rusty] Walker)->러스 [러스티] 워커
a46e65bc(Luther [Luth] Price)->루터 [루스] 프라이스
0002cee0(Aleczander [Alecz] Cushway)->알렉산더 [알렉스] 쿠시웨이
5d1e23c2(Henrik [Henrik] Landin)->헨리크 [헨리크] 랜딘
a03c05fe(Haruto [Haru] tokishima)->하루토 [하루] 토키시마
31bfe668(William [Will] Flatt)->윌리엄 [윌] 플랫
8331cb82(John [Red] Goodvin)->존 [레드] 굿빈
7e99384b(William [Will] Chapman)->윌리엄 [윌] 채프먼
121ebc5d(Vladimir [Vlad] Hamatus)->블라디미르 [블라드] 하마투스
2378bc10(Tom [Tombadil] Clements)->톰 [톰바딜] 클레멘츠
ce1a083c(William [Chad] Tidwell)->윌리엄 [채드] 타이드웰
de47beca(Johnathan [John] Watts)->조너선 [존] 와츠
ce0d0f1d(Ryan [Pickra] Pick)->라이언 [픽라] 픽
88ffcccd(Greggory [Greggory] Whitman)->그레고리 [그레고리] 휘트먼
56dddff0(Evan [Kevan] Schwartz)->에반 [케반] 슈워츠
c056ca52(Venzel [Emerald] Emerald)->벤젤 [에메랄드] 에메랄드
4d3b82ac(Alexander [Alex] Harper)->알렉산더 [알렉스] 하퍼
d32e6c0a(Jayvon [Barker] Barker)->제이본 [바커] 바커
fa9c497c(Connor [Connor] Blagojevic)->코너 [코너] 블라고예비치
9dda5884(Aaron [Aaron] Strapp)->에런 [에런] 스트랩
93c04494(Hedge [Logan] Logan)->헷지 [로건] 로건
7e863bd2(Logan [Drillmast] Derpington)->로건 [드릴마스트] 더핑턴
0d9d18f5(Fox [Pidoux] Pidoux)->폭스 [피두] 피두
a194c562(Glennon [Glenn] Nelson)->글렌논 [글렌] 넬슨
fc71b9c3(Christopher [Chris] Hanratty)->크리스토퍼 [크리스] 핸래티
df1327eb(Damien [Gilbert] Gilbert)->다미앵 [질베르] 질베르
40029631(Roen [Ro] Enrym)->로엔 [로] 엔림
ea0fd090(Thomas [Groenli] Groenli)->토마스 [그뢴리] 그뢴리
a8272b33(Andrew [Mack] Drake)->앤드루 [맥] 드레이크
829bcac2(Seth [Seth] Gortmaker)->세스 [세스] 고트메이커
3d628354(Curtis [Flint] Geddes)->커티스 [플린트] 게디스
f4e03a05(Jakob [Markgren] Markgren)->야코브 [마르크그렌] 마르크그렌
e16829a3(Aurelio [Amoroso] Amoroso)->아우렐리오 [아모로소] 아모로소
a9f90f6e(Philippe [Roy] Roy)->필리프 [로이] 로이
93472ca6(Elrithil [Elri] El Nadir)->엘리실 [엘리] 엘 나디르
1ab6c702(Josh [Rogers] Rogers)->조쉬 [로저스] 로저스
4e6c2779(Bertt [Bertt] Wycheck)->베르트 [베르트] 비헤츠크
e3e01687(Aleksander [Tree] Esamir)->알렉산더 [나무] 에사미르
eb3b3ef4(Jon [Greeny] Schafer)->존 [그리니] 샤퍼
06c9fb66(Ryan [Murdoc] Ferguson)->라이언 [머독] 퍼거슨
fc567e85(Clark [Halik] Halicarnasus)->클라크 [할리크] 할리카르나소스
f332ce0b(Daniel [Dan] Calhoun)->다니엘 [댄] 칼훈
a8a618ac(James [Squirrel] Coffman)->제임스 [다람쥐] 코프만
a034246e(Alfons [Fox] Nugarin)->알폰스 [여우] 누가린
2fc7881d(Filip [Tearry] Zednicek)->필립 [티어리] 제드니체크
bfaa8c39(Blair [Witch] Starret)->블레어 [위치] 스타렛
c851c5f8(Daniel [Daniel] Kuchler)->다니엘 [다니엘] 쿠흘러
81973054(Ledge [Ledge] Kindred)->레지 [레지] 킨드레드
6c67e623(Ryan [Tessier] Tessier)->라이언 [테시에] 테시에
02018913(Christian [Hummel] Pahren)->크리스티안 [훔멜] 파렌
cff5e075(Kristian [Jarmund] Jarmund)->크리스티안 [야르문드] 야르문드
6d2b9524(Hauke [Pahl] Pahl)->하우케 [팔] 팔
7598f808(Alex [Weston] Weston)->알렉스 [웨스턴] 웨스턴
5a668f6c(Michael [Michael] Stoeier)->마이클 [마이클] 스투이어
2d829614(Terry [Squires] Squires)->테리 [스콰이어스] 스콰이어스
1d129a44(Jeremy [Jeremy] White)->제레미 [제레미] 화이트
6ac98f5f(Ezequiel [Zeze] De Arriba)->에제키엘 [제제] 데 아리바
5d7fe95c(Greyson [Grey] Fenn)->그레이슨 [그레이] 펜
e0da9370(Ola [Oak] Oakbranch)->올라 [참나무] 오크브랜치
b6c24324(Iain [Iain] Jewitt)->이언 [이언] 주잇
d0ebf983(Steven [Steven] Doris)->스티븐 [스티븐] 도리스
7d79e3aa(Joe [Markee] Markee)->조 [마키] 마키
67d1fa27(René [Kalasse] Kalasse)->르네 [칼라세] 칼라세
6a838d44(Daniel [Tackler] Justice)->다니엘 [태클러] 저스티스
71c730de(Soufian [Bolaft] Salim)->수피안 [볼라프트] 살림
b9199f21(Curtis [Curt] Yee)->커티스 [커트] 이
90206170(Nithin [Six] Reddy)->니틴 [식스] 레디
0cae6e36(Noremac [Namrah] Namrah)->캐머런 [하만] 하만
54954325(Michael [Schwarz] Schwarz)->미하엘 [슈바르츠] 슈바르츠
7d1a711e(Kasper [Kipper] Heiss)->카스퍼 [키퍼] 하이스
f41afbad(Patrick [Shorty] Hahn)->파트리크 [꼬마] 한
fb910cf5(Mitchell [Mitch] Schull)->미첼 [미치] 슐
d7507856(William [Justin] Sprague)->윌리엄 [저스틴] 스프래그
0452b795(Christopher [Camp] Campagno)->크리스토퍼 [캄프] 캄파노
3da0ad6c(Cody [Cody] Reuben)->코디 [코디] 루벤
b7a638ef(Gligorije [Gile] Karic)->글리고리예 [길] 카리치
6b4756f2(Mark [Mark] Wiltse)->마크 [마크] 윌스
065c2b20(Levan [Phil] Kujak)->레반 [필] 쿠야크
5863ffe9(Drew [Drew] Hunt)->드루 [드루] 헌트
39a87b7a(Ben [Ben] Pritchard)->벤 [벤] 프리차드
1520b3b6(Raymond [Truth] Perry)->레이먼드 [진리] 페리
0f1d5609(Svennson [Webster] Van Webingen)->스벤손 [웹스터] 반 베빙언
d8ee4ab2(Alex [Sidoroff] Sidoroff)->알렉스 [시도로프] 시도로프
d89572db(Erik [Erik] Oschlies)->에릭 [에릭] 오슐리스
2fadef5d(Nikolai [Niko] Kopylow)->니콜라이 [니코] 코필로프
e50177bd(Dorian [Dode] Thériez)->도리안 [도드] 테리에즈
f1d954fc(Kent [Yoshinoya] Suta)->켄트 [요시노야] 수타
73096980(Nikolas [Nik] Smith)->니콜라스 [닉] 스미스
bc989ea8(Carter [Lowery] Lowery)->카터 [로워리] 로워리
c2cfb2e0(Gero [Gero] Canzler)->게로 [게로] 칸츨러
c1e8e255(Nikolas [Nik] Frazier)->니콜라스 [닉] 프레이저
9cf01ff6(Philip [McIntyre] McIntyre)->필립 [매킨타이어] 매킨타이어
8f0cd359(Andrew [Drewbert] Tenhouse)->앤드루 [드루버트] 텐하우스
a89d8b45(Logan [Logan] Pennington)->로건 [로건] 페닝턴
394f2bc8(Daniel [Daniel] Troy)->다니엘 [다니엘] 트로이
a67d4abd(Chris [Warman] Strandjord)->크리스 [워맨] 스트란요르드
d0517eb9(Cole [Whalen] Whalen)->콜 [웨일런] 웨일런
e955c69f(Hendrik [Henny] Fahs)->헨드릭 [헤니] 파스
daba118b(Joe [Turbo] Knight)->조 [터보] 나이트
9065e47c(Gabe [Hatty] Joyce)->게이브 [해티] 조이스
f03c2fda(Benjamin [Tawara] Kulz)->벤야민 [타와라] 쿨츠
ede3db7b(Patrick [Patrick] Price)->패트릭 [패트릭] 프라이스
3ae8a2c3(Christopher [Danger] Bryan)->크리스토퍼 [데인저] 브라이언
cb8aae76(Alexander [Snow] Nowak)->알렉산더 [스노우] 노바크
e195b0da(Zeth [Sven] Adamsson)->제스 [스벤] 아담손
d7b7c0d4(Asher [Ash] Oliver)->애셔 [애쉬] 올리버
21d245e1(Jacques [Jac] Gandolfo)->자크 [자크] 간돌포
831a0e0a(Ricko [Rick] Black)->리코 [릭] 블랙
f4707d16(Dennis [Desch] Schiavo)->데니스 [데쉬] 스키아보
b117bc9a(Martinus [Ele] van de Bride)->마르티누스 [엘] 반 더 브라이드
2e5b7aa3(Matthias [Matthias] Kaspar)->마티아스 [마티아스] 카스파르
01ecda15(Hugo [Hugo] Smokah)->휴고 [휴고] 스모카
00307082(Masaki [Wakadanna] Unohara)->마사키 [와카단나] 우노하라
58e3421d(Jason [Jase] Russell)->제이슨 [제이스] 러셀
aeba9838(Tim [Firefight] Huelsken)->팀 [총격전] 휠스켄
56b2eb24(Pin-chieh [Hsia] Hsia)->빈-제 [샤] 샤
8dd92732(Andy [Gogo] Carrasco)->앤디 [고고] 카라스코
8e34c76c(Robert [Rob] Currie)->로버트 [롭] 커리
91656a10(Rhys [Rhys] Cronin)->리스 [리스] 크로닌
7473baad(Lucient [Veer] Veer)->루시언트 [비어] 비어
5e00fa83(Dominik [Dominik] Scharf)->도미니크 [도미니크] 샤프
32cf836c(Kendel [Flipp] Pflipsen)->켄델 [플립] 플립센
f0ea6e9e(Leif [Viking] Christensen)->레이프 [바이킹] 크리스텐센
e584050a(Clayton [Clayton] Heinrich)->클레이튼 [클레이튼] 하인리히
df47e6dc(Jathen [Jathen] Nakamura)->제이든 [제이든] 나카무라
85316483(Dean [Dean] Bell)->딘 [딘] 벨
23e3b6e0(Akihiro [Magurosky] Hayasi)->아키히로 [마구로스키] 하야시
f6d2d7f4(Connor [Viking] Green)->코너 [바이킹] 그린
00991cbe(Steve [Steve] Meeks)->스티브 [스티브] 믹스
048ede4f(Franklin [Frandle] Madejczyk)->프랭클린 [프랜들] 마데이치크
78566514(Yang [Wiz] Gu)->양 [위즈] 구
c1694042(Kyle [Postal] Postal)->카일 [포스탈] 포스탈
b4724c95(Daniel [Daniel] Dennett)->다니엘 [다니엘] 데닛
cd9c29d3(Hatim [Atimo] Alghamdi)->하팀 [아티모] 알그함디
1a624ff1(Peter [Sergeant] Lamatsch)->피터 [병장] 라마치
47ca7650(Markus [Gachi] Gachi)->마르쿠스 [가치] 가치
66196b69(Ronan [Ron] Alliaume)->로난 [론] 알리움
e4845505(Andrew [Schenavar] Schenavar)->앤드루 [셰나바르] 셰나바르
d2db2778(Mike [Micky] Mcleod)->마이크 [미키] 맥클로드
d16da970(Florent [Marconi] Sévellec)->플로랑 [마르코니] 세벨렉
e32b5512(Christoph [Chris] Vogels)->크리스토프 [크리스] 포겔스
cbbace38(Frederic [Fred] Boulay)->프레데릭 [프레드] 불레
63d59682(Yann [Yann] Thomas)->얀 [얀] 토마스
b7ad9b17(Moby [Moby] Dick)->모비 [모비] 딕
37a2a245(Daniel [Dan] Smith)->다니엘 [댄] 스미스
ae44811c(Bryce [Tiefenthaler] Tiefenthaler)->브라이스 [티펜탈러] 티펜탈러
1d1a09a1(David [David] Snopek)->데이비드 [데이비드] 스노펙
a4c28014(David [David] Key)->데이비드 [데이비드] 키
26100c73(James [James] Millsap)->제임스 [제임스] 밀샙
88397b1d(Alexander [Alex] Recine)->알렉산데르 [알렉스] 레치네
dbb75d6a(Clint [Clint] Bainter)->클린트 [클린트] 베인터
a9d8a599(Nathan [Nate] Erhardt)->네이선 [네이트] 에르하르트
55ffd07e(Stuart [Wells] Wells)->스튜어트 [웰스] 웰스
e98ec9d4(Matthew [Matthew] Browne)->매튜 [매튜] 브라운
0d92ae92(Zuryn [Zuryn] Kradesh)->주린 [주린] 크라데시
7a2397f2(Ryan [Muther] Muther)->라이언 [무터] 무터
d5fd46dd(Dobri [Dobri] Dobrev)->도브리 [도브리] 도브레프
d02d29d2(Nicholas [Nick] Pitino)->니콜라스 [닉] 피티노
aca29aa0(Guilherme [Gui] Franca)->길레르메 [구이] 프랑카
1fa31fc5(Ross [Geddes] Geddes)->로스 [게디스] 게디스
e65e2fec(Morian [Mori] Stone)->모리안 [모리] 스톤
9d13948c(Dustin [Dustin] Bagley)->더스틴 [더스틴] 배글리
bdfc56b1(Brian [Scotty] Greenberg)->브라이언 [스코티] 그린버그
e7c2ce5c(Jolain [Poirier] Poirier)->졸랭 [포이리에] 포이리에
10390594(Michael [Micka] Noel)->마이클 [미카] 노엘
829c617f(Rolf [Rolf] Caesar Torp)->롤프 [롤프] 시저 토르프
6b31d626(Adrian [Konnor] Konnor)->에이드리언 [코너] 코너
8a0148c1(Ryan [Ryan] LaBarge)->라이언 [라이언] 라바지
662d6b5c(Tommy [Tom] Johansson)->토미 [톰] 요한슨
12bf8a12(Jeff [Jeffers] Tremble)->제프 [제퍼스] 트렘블
b274103b(Jordan [Jay] Mason)->조던 [제이] 메이슨
984d4c84(Simon [Simon] Squink)->사이먼 [사이먼] 스퀸크
31e50b1f(Jackson [Wolf] Book)->잭슨 [늑대] 북
990532bb(Dustin [Dustin] Ernst)->더스틴 [더스틴] 에른스트
1556fef0(Dominic [Dom] Heinz)->도미닉 [돔] 하인즈
a1378aae(Marco [Marco] Moll)->마르코 [마르코] 몰
1fa16eb1(Alexandre [Oliver] Perras)->알렉산드르 [올리버] 페라스
e0ef869c(Tyler [Mecke] Mecke)->타일러 [메케] 메케
1005a21d(Kyle [Kyle] Thompson)->카일 [카일] 톰슨
d813dd70(Lucas [Poku] Schmöhl)->루카스 [포쿠] 슈묄
64da3b63(Lachlan [Kearns] Kearns)->라클란 [컨스] 컨스
a50431e8(Jonathan [Xavin] Spence)->조너선 [자빈] 스펜스
558c68e4(Beau [Beau] Dierman)->보 [보] 디어맨
2e03dcba(Ian [Cox] Cox)->이안 [콕스] 콕스
1aa9cc6c(Barnack [Shadow] Hyral)->바르낙 [섀도우] 하이랄
11fbae8d(Matt [Matt] Edge)->매트 [매트] 엣지
c5d0d907(John [Woehrle] Woehrle)->존 [뵈를레] 뵈를레
e83cafaf(Matt [Chuck] Wilhelm)->매트 [척] 빌헬름
aa4a490e(William [Will] Woelk)->윌리엄 [윌] 뵐크
c388f411(Chris [Nait] De Paula)->크리스 [네이트] 드 폴라
cf3ed95e(Cale [Caz] Zed)->케일 [캐즈] 제드
15594df7(Pier [Vaegirt] Vaegirt)->피어 [베기르트] 베기르트
f83d0396(Nicholas [Knight] Giles)->니콜라스 [기사] 자일스
9e4ae782(Simon [Smilie] Jonsson)->시몬 [스마일리] 욘손
3153d92a(Benjamin [Leasure] Leasure)->벤저민 [레저] 레저
00c013c6(Tony [Tone] Brinkey)->토니 [톤] 브링키
cae417ec(Nik [Cop] Copper)->닉 [콥] 코퍼
a4bf2cd6(Dean [Dean] Wiltshire)->딘 [딘] 윌트셔
cd1de10f(Adrian [Age] Stevenson)->에이드리언 [에이지] 스티븐슨
22267a12(Charlie [Chuckles] Ball)->찰리 [처클스] 볼
de6c60f2(Liam [Weller] Weller)->리암 [웰러] 웰러
95f57d09(Bradley [Wiggins] Smit)->브래들리 [위긴스] 스밋
801cbd66(Burt [Burt] du Preez)->버트 [버트] 두 프리스
a9124ea8(Mauro [Mauro] Amado)->마우로 [마우로] 아마도
f4708643(Jonathan [Jon] Doerr)->조너선 [존] 도어
ec623f98(Matthew [Matt] Karr)->매튜 [매트] 카르
93fdac09(Bryan [Bryan] Burr)->브라이언 [브라이언] 버
657ac6a9(Stephen [Stephen] Jones)->스티븐 [스티븐] 존스
0b1dfd8d(Wayne [Wayne] Ashton)->웨인 [웨인] 애쉬튼
9f7f659d(Loudon [Luds] Ed)->루던 [루즈] 에드
a69895a5(Arthur [Chichester] Chichester)->아서 [치체스터] 치체스터
957f29f3(Alexander [Alex] Friedrich)->알렉산더 [알렉스] 프리드리히
bb10c247(Rob [Thighs] Fenwick)->롭 [허벅지] 펜윅
7103f613(Albert [Bobe] le Coq)->알베르 [보베] 르 꼬끄
586017e0(Daniel [Since] Sauer)->다니엘 [신스] 자우어
8098ac0e(Khan [Khan] Techsane)->칸 [칸] 테크세인
33ddf573(George [Casper] Casper)->조지 [캐스퍼] 캐스퍼
08b70710(Nick [Crow] Vranman)->닉 [까마귀] 브란만
c99e2f96(Malchius [Mal] Clay)->말키우스 [말] 클레이
e7c8a551(Atahan [Ata] Bozkurt)->아타한 [아타] 보즈쿠르트
27c251c6(Sancti [Spook] Archai)->상크티 [스푸크] 아르차이
6260739d(Chilian [Chilian] Amador)->칠리안 [칠리안] 아마도르
4dcb5a6c(Matthew [Matthias] Lees)->매튜 [마티아스] 리스
5a04c693(Kyle [Stuff] Stufflebeam)->카일 [스터프] 스터플빔
4e358f5f(Fraser [Macdonald] Macdonald)->프레이저 [맥도날드] 맥도날드
a4581bdc(Syogo [Shoh] Satoh)->쇼고 [쇼] 사토
fb35913d(Jackson [Jack] Thomas)->잭슨 [잭] 토마스
c5ed302a(Haris [Osaka] Fontaine)->하리스 [오사카] 폰테인
1a9719ed(Benjamin [Gear] Nguyen)->벤저민 [기어] 응우옌
64580ce8(Christopher [Chris] Schrader)->크리스토퍼 [크리스] 슈라더
f6710d44(Simon [Kelliz] Kaelstroem)->시몬 [켈리즈] 카엘스트롬
a5038c88(Joe [Lunder] Lunder)->조 [룬더] 룬더
3ea846c9(Brandon [marvin] Luczak)->브랜던 [마빈] 루차크
7c1193ad(Sebastian [Basti] Stach)->제바스티안 [바스티] 슈타흐
a41e9ef7(Rashaad [Rash] Favors)->라샤드 [라쉬] 페이버스
9dcadee3(Dominik [Dominik] Lange)->도미니크 [도미니크] 랑에
9fea39e9(Jared [Peterson] Peterson)->재러드 [피터슨] 피터슨
b8326626(Philip [Phil] Loevendahl)->필립 [필] 뢰벤달
a05fadbc(Jake [Jake] Perea)->제이크 [제이크] 페레아
eee29052(Santiago [Victor] Alonso)->산티아고 [빅터] 알론소
61c5a75c(Josh [Squishy] Anshewitz)->조쉬 [스퀴시] 안셰비츠
4a18bd46(Dennis [Dennis] Wernicke)->데니스 [데니스] 베르니케
20c6698b(Duncan [Dunkle] Harris)->던컨 [던클] 해리스
1705ca5c(Tavetti [Tavvi] Selvidge)->타베티 [타비] 셀비지
f009c7b5(Patriclus [Patriclus] Frost)->파트리클루스 [파트리클루스] 프로스트
7ea37f20(Stefan [Rocco] Kaegi)->스테판 [로코] 카에기
77246459(Sebastian [Basti] Jonas)->세바스티안 [바스티] 조나스
1055b4ac(Steven [Steven] Jagielski)->스티븐 [스티븐] 야기엘스키
e5272c90(Dehao [Dehao] Dai)->더하오 [더하오] 다이
e57c9d4f(Abis [Hell] Helladius)->아비스 [헬] 헬라디우스
09e7a571(James [Ranger] Campise)->제임스 [레인저] 캄피세
4db5edbb(David [David] Capper)->데이비드 [데이비드] 캐퍼
0aa69aaf(Justin [Tews] Tews)->저스틴 [테우스] 테우스
ac6115e5(Campbell [Scott] McKay)->캠벨 [스콧] 맥케이
a9f546a2(Andrew [Gully] Gulliford)->앤드루 [굴리] 걸리퍼드
60e4cb1a(Nicholas [Nick] Mihelich)->니콜라스 [닉] 미헬리치
d5aaa46e(Aldin [Omanovic] Omanovic)->알딘 [오마노비치] 오마노비치
eea9d7cc(Pascal [Passi] Ebbert)->파스칼 [파시] 에버트
d151394a(Aitor [Maverick] Urbieta)->아이토르 [매버릭] 우르비에타
e88dca03(John [Panther] Gilbert)->존 [표범] 길버트
11ce292b(Teddy [Ted] Grezes)->테디 [테드] 그레제스
dc76c034(Spencer [Talo] Kern)->스펜서 [탈로] 케른
b6b7945c(Alex [Vale] Lawless)->알렉스 [베일] 롤리스
ea5688f7(Zach [Zach] Phillips)->잭 [잭] 필립스
125cda73(Brandon [Brandon] McBride)->브랜던 [브랜던] 맥브라이드
de6db788(Rufert [Rufert] Lehman)->루퍼트 [루퍼트] 리먼
e219170a(Gustav [Gussi] Seymore)->구스타프 [구씨] 시모어
eabef592(Leo [Ace] Northwood)->레오 [에이스] 노스우드
4b2eb03d(Kirill [Kirya] Belotserkvi)->키릴 [키리야] 벨로체르크비
719f74a0(Lane [Beast] Buckingham)->레인 [야수] 버킹엄
557345a4(Matt [Tux] Hamm)->매트 [턱스] 햄
02903aae(Conor [Buck] Buchanon)->코너 [벅] 뷰캐넌
84b399f8(Kenji [Ma] Ma)->켄지 [마] 마
5eaf63a8(Douglas [Doug] Townsend)->더글라스 [더그] 타운젠드
dc53c6ef(Arthur [James] Yae)->아서 [제임스] 야에
6afeabd0(Viktor [Viktor] Törner)->빅토르 [빅토르] 토르넬
bcaaa044(Alexey [Rodionov] Rodionov)->알렉세이 [로디오노프] 로디오노프
2a21ad70(Lewis [Lewis] Heathershaw)->루이스 [루이스] 헤더쇼
01bd0bcc(Julius [Wolf] Wolfgang)->율리우스 [늑대] 볼프강
d9e4e940(Edward [Eddy] Kent)->에드워드 [에디] 켄트
534af0a5(Victor [Vic] Meszaros)->빅터 [빅] 메사로시
183447ab(André [Bachi] Bachmann)->앙드레 [바히] 바흐만
15cda339(Herr [Deitrich] Deitrich)->헤아 [다이트리히] 다이트리히
6f9597dc(Jay [Jaxx] Mitra)->제이 [잭스] 미트라
e18a2d63(Yih-Pin [Gramps] Khoo)->이-핀 [할배] 쿠
35534fd1(Matt [Cactus] Greenheck)->매트 [선인장] 그린헥
b2e62bae(Jonathan [Jono] Dahl)->조너선 [조노] 달
e88bfa81(James [Couchy] Couch)->제임스 [쿠시] 카우치
309b27c6(Marcel [Coustic] Silva)->마르셀 [쿠스틱] 실바
8bd0f97c(Florian [Thibaut] Thibaut)->플로리안 [티보] 티보
bcec0e81(Michael [Mike] Berger)->마이클 [마이크] 버거
7beefa84(Slawomir [Natt] Uchto)->슬라보미르 [나트] 우흐토
fefb6277(Colin [Doc] Bullock)->콜린 [닥터] 불럭
6bef3dd5(Larry [Priest] Priest)->래리 [프리스트] 프리스트
4b111c55(Brian [Brian] Corba)->브라이언 [브라이언] 코르바
896c9df3(Peter [Petey] Peterson)->피터 [피티] 피터슨
daf3f856(Terrence [Stash] Braddock)->테렌스 [스태시] 브래독
d9a9e2f2(Matthew [Matt] Pinches)->매튜 [매트] 핀체스
33584fbd(Tyler [Disney] Disney)->타일러 [디즈니] 디즈니
0c1c6080(Danny [Wilford] Wilford)->대니 [윌포드] 윌포드
83740937(Marcus [Marcus] Krueger)->마르쿠스 [마르쿠스] 크루거
f9b9de06(Thomas [Thomas] Kulesza)->토마스 [토마스] 쿨레샤
ece7b716(Eldon [Donny] Laws)->엘던 [도니] 로스
6306daff(Brandon [Simone] Simone)->브랜던 [시몬] 시몬
9b0afbf0(Michael [Mike] Olson)->마이클 [마이크] 올슨
ca09e0f5(Johan [Johan] Arthuras)->요한 [요한] 아르투라스
